date,alpha_0a22b5d9,alpha_0e5ad6e0,alpha_22470197,alpha_31f9149c,alpha_3221e96b,alpha_3c2f1bc5,alpha_4502b5af,alpha_6a1a6f8d,alpha_78ebbccf,alpha_8047543a,alpha_8a8df75c,alpha_96a96551,alpha_97aeb2d8,alpha_9aab3d1e,alpha_a10e2afe,alpha_ac177fa4,alpha_c0c1ca4f,alpha_c1754043,alpha_cf45008b,alpha_d8be488a,alpha_e31df18b,alpha_f0d9f6b4
1990-01-29,,,,,,,,,,,,-0.13057526274357334,,,,,,,,0.12071014215815791,,
1990-01-30,,,0.09840010052851243,,,0.2936991796027871,,,,0.0008492538854763585,,0.042806726763410435,,,,,,0.09658848946784482,,-0.05355261456342287,0.11353024995441657,
1990-01-31,,,0.1055742329047296,,,0.0776664362671091,,,,-0.06735779116086962,,0.04113754150739383,,,,,,0.09052605366741728,,-0.09733940245543388,0.07312456099673689,
1990-02-01,,,0.13856547746522155,,,0.06809188521123935,,,,-0.006461244135540262,,0.010358207910439874,,,,,,0.08793676919361057,,0.014723104730119738,0.08625625800369742,
1990-02-02,,,0.15786733245008952,,,0.1251480276681876,,-0.044443982226533965,,-0.14365528976738173,,0.04268370952055842,,,,,,0.10612915456484005,,-0.1048692061275074,0.08261185790559408,
1990-02-05,,-0.04398158976967937,0.003954254168318903,,,0.043093767955783305,,0.05279511201042319,0.0385270222548473,-0.043170197990867715,,-0.08386080537836643,,,,,,-0.04362679354085983,,-0.033894451131310614,-0.015459250636900092,
1990-02-06,,0.05123080203604873,-0.12031759006918613,,,-0.15074779962824322,,-0.06601153499047928,0.0546634579546317,0.047689897323615456,,-0.15361591711135758,,,,,,-0.06719295743322348,,0.06650119009798706,-0.0353410316774567,
1990-02-07,,0.011772234254331064,0.015455454458216607,,,0.07430499844041702,,-0.011893783790314392,-0.013102875286327274,-0.011117372331514743,,0.025267765696725033,,,,,,-0.02521040854252446,,-0.012917562396803505,-0.01802758561906968,
1990-02-08,,0.06739328553464116,0.023575245931882816,,,-0.03480173385921038,,-0.026898788901772323,-0.014257847647801369,0.01903275879462292,,-0.04231023639458963,,,,,,-0.05661714710655095,,0.033232097270754775,-0.09220965224644476,
1990-02-09,,0.039296432402912244,0.09878634089622894,,,0.06287235768196311,,0.0003533144898549511,-0.005827722594473847,-0.022394237695162095,,-0.0038766364374138457,,,,,,0.07142667462873933,,-0.03228807991897077,0.08330527301194647,
1990-02-12,,0.06661619982103024,0.04527225335446292,,,0.07840829943541498,,0.09880220088669399,-0.02190365457258554,-0.20965151772336946,,0.008011947903708813,,,,,,0.09745936681788789,,0.018442218957888636,0.07546013198482285,
1990-02-13,,-0.060438976288766454,0.1714236280447455,,,0.13543586667738092,,-0.07027758709251641,0.05054830970935986,-0.09370888421889949,,-0.012962062005586032,,,,,,0.12837710148722734,,-0.04067191404556803,0.12895459981067506,
1990-02-14,,0.03127308024943852,-0.09160947971936487,,,-0.07272706354728481,,0.02242217749805436,-0.03287947063889364,0.10043723399319704,,0.1421092042254213,,,,,,-0.029673345665649116,,-0.013285175966924873,-0.024020236606308844,
