date,alpha_k001,alpha_k002,alpha_k003,alpha_k004,alpha_k006,alpha_k007,alpha_k008,alpha_k009,alpha_k010,alpha_k012,alpha_k013,alpha_k014,alpha_k015,alpha_k016,alpha_k017,alpha_k018,alpha_k019,alpha_k020,alpha_k021,alpha_k022,alpha_k023,alpha_k024,alpha_k026,alpha_k028,alpha_k029,alpha_k030,alpha_k031,alpha_k033,alpha_k034,alpha_k035,alpha_k037,alpha_k038,alpha_k039,alpha_k040,alpha_k043,alpha_k044,alpha_k045,alpha_k046,alpha_k049,alpha_k051,alpha_k052,alpha_k055,alpha_k060,alpha_k068,alpha_k085,alpha_k088,alpha_k092,alpha_k095,alpha_k099,alpha_k101
1990-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0495392561292431,,,,,,,,,,,,,,,,,,,,,,-0.06754663683515806
1990-01-03,,,,,,,,,,0.1111201961713808,,,,,,,,-0.0026196334149906565,,,,,,,,,,0.0048085601216751725,,,,,,,,,,,,,,,,,,,,,,-0.028436736185427847
1990-01-04,,,,,,,,,,0.1056789884849406,,,,,,,,-0.13116913269621552,,,,,,,,,,-0.17823250218840278,,,,,,,,,,,,,,,,,,,,,,0.15213038642764565
1990-01-05,,,,,,,,,,0.03670110967951804,,,,,,,,0.09485306084786417,,,,,,,,,,0.07620324119227537,,,,,,,,,,,,,,,,,,,,,,-0.02759548904584729
1990-01-08,,,,,,,,,-0.02904629030986208,-0.05685955984513082,-0.22933327756182834,,-0.14161931122493865,-0.17061574677455618,,,,-0.13425499312386124,,,,,,,,,,0.09732412631017665,,,,,,,,-0.11355135189118527,,,,,,,,,,,,,,-0.05083461820482188
1990-01-09,,,,,,,,0.16087683742715633,0.15703080206444991,0.06680830380347304,0.06573355118708023,,0.05344112542120961,0.041527118833404666,,,,0.08667443374165704,,,,,,,,,,0.0668861208233086,0.1856013041811101,,,,,,,0.04400779578157158,,,,,,,,,,,,,,-0.08176844512533309
1990-01-10,,,,,,,,-0.026169675136158366,-0.006099319566941879,-0.0830320329295953,0.09705059750341417,,-0.07736937720189291,-0.05627594622094049,,,,-0.17937591112011692,,,,,,,,,,-0.011682797237562907,-0.005608324681081264,,,,,,,-0.057964861938287975,,,,,,,,,,,,,,0.007786086389601893
1990-01-11,,-0.0590295387457883,,,,,,0.045425279377424986,0.05658835029080539,-0.11327846031308239,-0.09070319925763276,,0.011654272152767499,-0.03638286696494662,,,,0.1001082004615649,0.13615151042798834,,,,,,,,,0.053349680780908855,0.07925468558850107,,,,,,,0.06950045500583031,,,,,,,,,,,,,,-0.06601015006923398
1990-01-12,,0.0005223087048226275,,-0.01677581238778508,,,,-0.06875151574479611,-0.035769885185613914,0.012090896512594878,-0.03298337432490588,,0.0073314393244358475,-0.14297232727411754,,,,-0.08136099678787048,0.008017265790588441,,,,,,,,,-0.08513888950964099,-0.02784965555095912,,,,,,,-0.05120585972650928,,,,,,,,,,,,,,0.04216625244137169
1990-01-15,,0.09070008998434884,0.16309222155154066,0.2786526208527508,0.06637187551570517,,,0.13210302606709995,0.09592699385402349,-0.043862087618912776,0.0796276971208015,0.04512200235000792,0.1765406326100746,0.26858359593580966,,0.0057995673162664204,,0.09244552782662571,0.1455828816197097,,,,,,,,,0.16409225205677283,0.20289416043551076,,,0.20827072519019144,,-0.00441952952985282,,0.17855199423111034,,,,,,,0.1088713149470072,,,,,,,-0.10307850978913397
1990-01-16,,-0.0428351467709557,-0.15458273930165106,-0.25461018756530907,-0.07826227969258918,,,0.25775254427225547,0.25785664212481496,0.12305083513130677,-0.038019831736223815,-0.05342530571170719,0.0459284757017329,-0.04009621197792023,,0.29341829737415204,,-0.33786560066912896,-0.21733503209675864,,,,-0.16110380385001494,,,,,0.2758132968546288,0.2112036935953563,,,0.1525483559782611,,-0.02746336579432331,,-0.15110947806125585,,,,,,,0.32008085767844585,,,,,,,-0.21624439788651958
1990-01-17,,0.0426136848004295,0.019488570263571748,0.008562575997697434,0.08521465358038822,,,0.26010436475614757,0.18813813607156168,-0.18084375793475196,0.05116859985713762,0.07706663889541086,0.0680297810943753,0.06352962785350945,,0.0690741684623985,,-0.1220229005794131,-0.21219640681120375,,,,0.17723687835761637,,0.16220935145118648,,,0.21608535765269904,0.07448229734111843,,,0.1735809413343631,,0.06147478841268996,,0.06557964609708405,,,,,,,0.26374405083278746,,,,,,,-0.19842261236882738
1990-01-18,,-0.07547376279991351,-0.05662535766457338,0.05164846895017102,0.07150800211916526,,,0.15992679440048674,0.1253149154409152,-0.11636114168041913,-0.11480697334079214,0.06360639836581682,0.005736768628248472,-0.07257472525630064,,0.046490808702579954,,-0.08967713328677247,-0.020742505405534357,,,,0.00787629529561544,,0.048922444238590886,,,0.16553505568994814,0.018265851105448472,,,0.1671448305971091,,-0.047785863852001766,,-0.05433468232310519,,,,,,,0.020589967745979633,,,,,,,-0.1453303553908002
1990-01-19,,-0.08756103521496074,-0.011451400783076713,0.04187734061925965,-0.11759065959773576,,,0.12595268381216956,0.13364701760763417,0.0031231362432878732,0.03153500932531319,-0.12233065829611492,-0.04852261576773356,3.5663184237172726e-05,,0.10893030626499244,,0.19466435806894805,0.1787459008275078,,,,-0.16789470920092706,,0.015367781248951827,,,0.013189254902115144,0.009818605018699819,,,0.007187035178480603,,-0.1652529831133777,,-0.08632808942747054,,,,,,,0.017361496163617738,,,,,,,-0.037441823705229145
1990-01-22,,0.054688145819343253,0.05118373879898368,0.03219182229109184,0.09362249646586578,,,-0.17822507054786585,-0.1591293173370891,-0.032254321412669255,0.011251698124056991,0.06021787201846632,0.018961767040456115,0.1034605257403987,,-0.17227274052678096,,-0.0219535989543741,-0.09641981982884064,,,,-0.009906671945931585,,-0.11533876001300968,,,-0.2622731396079184,-0.056709980423708096,,,-0.18407943204401284,,0.04826890937225912,,0.04746484664972661,,,,,,,-0.13832482641385987,,,,,,,0.24185081547665324
1990-01-23,,-0.01734957034818187,0.0746756825270322,0.04721218099894608,0.1418399075789565,,0.004510651814551336,0.02379270853839218,0.028393973384665067,0.00839367634343195,0.03718910297708655,0.09959530778678082,0.023595382869912095,0.12875411363899888,,0.12295435007130229,,-0.18892814693798088,0.017887692041703415,,,,0.15915029498650218,,0.004755240912902057,,,0.18978414758567963,0.04191217544979136,,,0.18410898510685436,,0.10724298778904708,,0.1936685174171592,,,,,,,0.15132123698813343,,,,,,,-0.18019207115605554
1990-01-24,,-0.07115539891188499,0.05339409918126266,-0.1438468201466927,-0.14231715352903646,,0.08069338088124252,0.13413944502654018,0.11923214552301882,0.051456277208748374,0.06806717154020311,-0.12884291400498196,-0.011995052371601637,0.016198229781689322,,0.12870972059971378,,-0.15678083882778016,-0.036127984129725635,,,,-0.022132375020934583,,0.026517455872692382,,,0.19771581574215477,-0.06520848515449189,,,0.1588639211762561,,-0.12853633491522193,,0.0013641475732989656,,,,,,-0.04954569976568072,0.3001448650936512,,,,,,,-0.21533964967874805
1990-01-25,,-0.028933250928378423,-0.13411896226767162,0.030011137037947215,0.01583716089642312,,0.26089695106804506,0.22529558545170777,0.18481076343620662,-0.14307938747602117,0.03461534452235142,-0.021749200580190548,0.07508268174959536,0.04262998763786042,,0.20179545287426262,,-0.10908407479104289,0.14387779760598937,,,,0.15397993676862198,,0.08983587255480506,,,0.33047997970672344,0.12082988501013045,,,0.32562923508607594,,0.006729938157568495,,0.14926714065624955,,,,,,0.0611675526269959,0.07746573131618369,,,,,,,-0.2755371692414425
1990-01-26,,-0.025708316768195936,0.13158910957985012,-0.06183310540254878,0.059098889614992496,,-0.020391834799159722,-0.026011992504735452,-0.02681387218900492,0.023610775694049933,0.08769942467249019,0.06140065303693983,0.045708489796331284,0.03893905027421305,,0.10399533905341234,,0.07378385426771356,0.036880795026582015,,,,-0.016948955245248965,,-0.0690799996986603,,,-0.08218096190506571,-0.025863362603150558,,,-0.10539776926292495,,0.07155364205001086,,-0.05348307985783013,,,,,,0.06288920583991944,-0.005902573989184503,,,,,,,0.08973710728420291
